Date,"Fase, banco, y malla programada",Estado / Motivo de suspensión,Hora de ejecución,URL
15-12-2023,Fase 07 Banco 960 malla 01b-03a,Ejecutada,10:18,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\Registro%20tronadura%20realizada%2015-12-2023.pdf
15-12-2023,Fase 07 Banco 960 malla 01c-02b,Ejecutada,10:25,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\Registro%20tronadura%20realizada%2015-12-2023.pdf
15-12-2023,Fase 06 Banco 970 malla 25a,Ejecutada,10:30,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\Registro%20tronadura%20realizada%2015-12-2023.pdf
15-12-2023,Fase 06 Banco 970 malla precorte,Ejecutada,10:30,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\Registro%20tronadura%20realizada%2015-12-2023.pdf
16-12-2023,Fase 07 Banco 970 Malla 9B,Ejecutada,14:28,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\Registro%20tronadura%20realizada%2016-12-2023.pdf
18-12-2023,Fase 07 Banco 960 Malla 3B,Ejecutada,10:49,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\Registro%20tronadura%20realizada%2018-12-2023.pdf
18-12-2023,Fase 07 Banco 960 Malla Precorte,Ejecutada,10:49,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\Registro%20tronadura%20realizada%2018-12-2023.pdf
18-12-2023,Fase 06 Banco 960 Malla 14D-15D-16A,Ejecutada,11:02,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\Registro%20tronadura%20realizada%2018-12-2023.pdf
19-12-2023,Fase 07 Banco 960 Malla 3C,Ejecutada,11:19,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\Registro%20tronadura%20realizada%2019-12-2023.pdf
21-12-2023,Fase 06 Banco 960 malla 14e-15e-16b,Ejecutada,10:45,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\registro%20tronadura%20realizada%2021-12-2023.pdf
